pl_name,detection,T0,T0_err+,T0_err-,period,period_err+,period_err-,T14,T14_err+,T14_err-,lambda,lambda_err+,lambda_err-,incl,incl_err+,incl_err-,b,b_err+,b_err-,pl_radius,pl_radius_err+,pl_radius_err-,aRs,aRs_err+,aRs_err-,st_radius,st_radius_err+,st_radius_err-,ecc,ecc_err+,ecc_err-,st_mass,st_mass_err+,st_mass_err-,RpRs,RpRs_err+,RpRs_err-
Kepler-242 c,Transit,2454976.41348,0.00346,0.00346,14.496481,8.3e-05,8.3e-05,3.222,0.125,0.125,,,,84.34,,,0.37,0.23,0.23,2.0,1.23,1.23,33.7,4.1,4.1,0.85,0.52,0.52,0.0,,,0.81,0.03,0.04,0.02098,0.00065,0.00065
Kepler-243 b,Transit,2455007.87832,0.00109,0.00109,5.715442,1.1e-05,1.1e-05,2.484,0.042,0.042,,,,88.81,,,0.17,0.23,0.23,2.45,1.16,1.16,17.776,0.697,0.697,0.84,0.4,0.4,0.0,,,0.83,0.04,0.04,0.02645,0.00038,0.00038
Kepler-243 c,Transit,2454979.90767,0.00404,0.00404,20.026218,0.000163,0.000163,1.319,0.16,0.16,,,,88.43,,,0.77,0.09,0.09,1.99,0.97,0.97,40.7,2.3,2.3,0.84,0.4,0.4,0.0,,,0.83,0.04,0.04,0.01958,0.00162,0.0016
Kepler-244 b,Transit,2455006.57568,0.001,0.001,4.311792,8e-06,8e-06,2.735,0.038,0.038,,,,89.08,,,0.52,0.23,0.23,2.76,1.16,1.16,12.25,1.3,1.3,0.8,0.34,0.34,0.0,,,0.96,0.04,0.06,0.03072,0.00064,0.00043
Kepler-244 c,Transit,2455019.57903,0.00229,0.00229,9.767292,4.6e-05,4.6e-05,1.373,0.081,0.081,,,,87.68,,,0.49,0.19,0.19,2.05,0.87,0.87,21.0,10.0,10.0,0.8,0.34,0.34,0.0,,,0.96,0.04,0.06,0.02285,0.00076,0.00114
Kepler-244 d,Transit,2455021.08718,0.00377,0.00377,20.050401,0.00013,0.00013,4.504,0.108,0.108,,,,89.31,,,0.11,0.22,0.22,2.31,0.97,0.97,19.25,9.0,9.0,0.8,0.34,0.34,0.0,,,0.96,0.04,0.06,0.02657,0.00051,0.00093
Kepler-245 b,Transit,2455007.94919,0.00132,0.00132,7.49019,1.9e-05,1.9e-05,2.804,0.04,0.04,,,,89.95,,,0.2,0.2,0.2,2.57,0.18,0.18,21.59,1.3,1.3,0.8,0.05,0.05,0.0,,,0.86,0.03,0.03,0.03118,0.00076,0.00038
Kepler-245 c,Transit,2454970.26441,0.00256,0.00256,17.460812,7.6e-05,7.6e-05,2.244,0.077,0.077,,,,89.31,,,0.2,0.23,0.23,2.18,0.17,0.17,60.31,3.3,3.3,0.8,0.05,0.05,0.0,,,0.86,0.03,0.03,0.02653,0.00111,0.00067
Kepler-245 d,Transit,2455034.27797,0.00264,0.00264,36.277108,0.000173,0.000173,4.804,0.079,0.079,,,,89.97,,,0.18,0.2,0.2,3.03,0.21,0.21,59.91,1.6,1.6,0.8,0.05,0.05,0.0,,,0.86,0.03,0.03,0.03668,0.00097,0.00046
Kepler-245 e,Transit,2454966.0031,0.00119,0.00119,3.21982106,4.74e-06,4.74e-06,2.1157,0.0321,0.0321,,,,89.72,,,0.0676,0.3495,0.0676,1.75,0.08,0.06,11.849,0.867,0.867,0.8,0.02,0.02,0.0,,,0.86,0.03,0.03,0.02012,0.00072,0.00044
Kepler-246 b,Transit,2455002.97887,0.00096,0.00096,4.60182,8e-06,8e-06,2.227,0.033,0.033,,,,87.56,,,0.58,0.23,0.23,2.34,1.2,1.2,13.43,4.7,4.7,0.83,0.42,0.42,0.0,,,0.79,0.05,0.03,0.02678,0.00257,0.00114
Kepler-246 c,Transit,2454970.18172,0.00415,0.00415,11.187161,7.5e-05,7.5e-05,3.161,0.125,0.125,,,,89.1,,,0.04,0.23,0.23,1.5,0.76,0.76,24.72,8.9,8.9,0.83,0.42,0.42,0.0,,,0.79,0.05,0.03,0.01704,0.00052,0.00079
