pl_name,detection,T0,T0_err+,T0_err-,period,period_err+,period_err-,T14,T14_err+,T14_err-,lambda,lambda_err+,lambda_err-,incl,incl_err+,incl_err-,b,b_err+,b_err-,pl_radius,pl_radius_err+,pl_radius_err-,aRs,aRs_err+,aRs_err-,st_radius,st_radius_err+,st_radius_err-,ecc,ecc_err+,ecc_err-,st_mass,st_mass_err+,st_mass_err-,RpRs,RpRs_err+,RpRs_err-
14 Her b,Radial Velocity,2456834.4,1.7,1.9,1765.03890112,1.67708897,1.87256063,,,,,,,144.652,6.279,3.241,,,,12.6,,,,,,0.93,0.01,0.01,0.372689,0.008388,0.00603,0.91,0.11,0.11,,,
24 Sex b,Radial Velocity,,,,452.8,2.1,4.5,,,,,,,,,,,,,13.4,,,,,,4.9,0.08,0.08,0.09,0.14,0.06,1.54,0.08,0.08,,,
24 Sex c,Radial Velocity,,,,883.0,32.4,13.8,,,,,,,,,,,,,13.9,,,,,,4.9,0.08,0.08,0.29,0.16,0.09,1.54,0.08,0.08,,,
2MASS J19383260+4603591 b,Eclipse Timing Variations,,,,406.0,4.0,4.0,,,,,,,,,,,,,13.4,,,,,,0.2,0.0,0.0,0.33,0.05,0.05,0.48,,,,,
47 UMa b,Radial Velocity,2454415.6,3.0,2.9,1078.0,2.0,2.0,,,,,,,,,,,,,13.2,,,,,,1.21,0.04,0.06,0.032,0.014,0.014,1.06,0.13,0.14,,,
47 UMa c,Radial Velocity,2455651.0,59.0,46.0,2391.0,100.0,87.0,,,,,,,,,,,,,14.2,,,,,,1.21,0.04,0.06,0.098,0.047,0.096,1.06,0.13,0.14,,,
47 UMa d,Radial Velocity,2451820.0,170.0,200.0,14002.0,4018.0,5095.0,,,,,,,,,,,,,13.5,,,,,,1.21,0.04,0.06,0.16,0.09,0.16,1.06,0.13,0.14,,,
55 Cnc b,Radial Velocity,2455803.293,0.014,0.014,14.6516,0.0001,0.0001,,,,,,,89.73,24.49,24.54,,,,13.9,,,,,,0.94,0.01,0.01,0.0,0.01,0.01,0.91,0.02,0.02,,,
55 Cnc c,Radial Velocity,2455846.83,0.43,0.48,44.3989,0.0042,0.0043,,,,,,,89.73,24.49,24.54,,,,8.51,,,,,,0.94,0.01,0.01,0.03,0.02,0.02,0.91,0.02,0.02,,,
55 Cnc d,Radial Velocity,2455790.0,120.0,91.0,5574.2,93.8,88.6,,,,,,,89.73,24.49,24.54,,,,13.0,,,,,,0.94,0.01,0.01,0.13,0.02,0.02,0.91,0.02,0.02,,,
55 Cnc e,Radial Velocity,2457063.2096,0.0006,0.0004,0.7365474,1.3e-06,1.4e-06,1.555016,0.0273325,0.0273325,72.4,12.7,11.5,83.59,0.47,0.44,0.39,0.03,0.03,1.875,0.029,0.029,3.52,0.01,0.01,0.94,0.01,0.01,0.05,0.03,0.03,0.91,0.02,0.02,0.0182,0.0002,0.0002
55 Cnc f,Radial Velocity,2456020.7,5.2,6.1,259.88,0.29,0.29,,,,,,,89.73,24.49,24.54,,,,7.59,,,,,,0.94,0.01,0.01,0.08,0.05,0.04,0.91,0.02,0.02,,,
61 Vir b,Radial Velocity,2455200.7,0.14,0.11,4.215,0.0006,0.0006,,,,,,,,,,,,,2.11,,,,,,0.96,0.01,0.01,0.12,0.11,0.11,0.94,0.03,0.03,,,
61 Vir c,Radial Velocity,2454922.48,0.69,0.65,38.021,0.034,0.034,,,,,,,,,,,,,4.46,,,,,,0.96,0.01,0.01,0.14,0.06,0.06,0.94,0.03,0.03,,,
61 Vir d,Radial Velocity,,,,123.01,0.55,0.55,,,,,,,,,,,,,5.11,,,,,,0.96,0.01,0.01,0.35,0.09,0.09,0.94,0.03,0.03,,,
7 CMa b,Radial Velocity,,,,735.1,14.8,1.0,,,,,,,90.0,,,,,,13.4,,,,,,4.87,0.17,0.14,0.06,0.03,0.03,1.34,0.11,0.12,,,
7 CMa c,Radial Velocity,,,,996.0,1.5,52.4,,,,,,,90.0,,,,,,13.9,,,,,,4.87,0.17,0.14,0.08,0.05,0.04,1.34,0.11,0.12,,,
AU Mic b,Transit,2458330.39046,0.00015,0.00015,8.4629991,2e-06,2e-06,3.5738006,0.0698212,0.0698212,,,,89.5,0.3,0.3,0.18,0.11,0.11,4.07,0.17,0.17,19.1,0.3,0.3,0.7,0.02,0.02,0.186,0.036,0.035,0.5,0.03,0.03,0.0496,0.0007,0.0007
AU Mic c,Transit,2458342.2243,0.0005,0.0005,18.858991,1.6e-06,1.6e-06,4.42,0.92,0.67,,,,89.39,0.4,0.38,0.3,0.21,0.2,3.24,0.16,0.16,31.7,2.6,2.7,0.75,0.03,0.03,0.041,0.047,0.026,0.5,0.03,0.03,0.0395,0.0011,0.0011
BD+20 2457 b,Radial Velocity,,,,379.63,2.0,2.0,,,,,,,,,,,,,11.6,,,,,,71.02,73.63,73.63,0.15,0.03,0.03,10.83,22.96,22.96,,,
BD+20 2457 c,Radial Velocity,,,,621.99,10.2,10.2,,,,,,,,,,,,,12.4,,,,,,49.0,26.0,26.0,0.18,0.06,0.06,2.8,1.5,1.5,,,
BD-06 1339 b,Radial Velocity,,,,3.8728,0.0004,0.0004,,,,,,,,,,,,,2.85,,,,,,0.69,0.06,0.07,0.0,,,0.7,,,,,
BD-06 1339 c,Radial Velocity,,,,125.94,0.44,0.44,,,,,,,,,,,,,8.38,,,,,,0.69,0.06,0.07,0.31,0.11,0.11,0.7,,,,,
BD-08 2823 b,Radial Velocity,,,,5.6,0.02,0.02,,,,,,,,,,,,,3.61,,,,,,0.71,0.04,0.04,0.15,0.15,0.15,0.5,0.26,0.26,,,
BD-08 2823 c,Radial Velocity,,,,237.6,1.5,1.5,,,,,,,,,,,,,12.5,,,,,,0.72,0.02,0.02,0.19,0.09,0.09,0.74,0.07,0.07,,,
BD-11 4672 b,Radial Velocity,,,,1634.0,13.0,14.0,,,,,,,,,,,,,14.1,,,,,,0.64,0.02,0.02,0.05,0.05,0.03,0.65,0.03,0.03,,,
BD-11 4672 c,Radial Velocity,,,,74.2,0.06,0.08,,,,,,,,,,,,,4.04,,,,,,0.64,0.02,0.02,0.4,0.13,0.15,0.65,0.03,0.03,,,
CoRoT-20 b,Transit,2455266.0001,0.0014,0.0014,9.24285,0.0003,0.0003,2.2248,0.0456,0.0456,,,,88.21,0.53,0.53,0.26,0.08,0.08,9.416,0.448,0.448,18.95,0.63,0.73,1.02,0.05,0.05,0.59,0.02,0.02,1.14,0.08,0.08,0.0842,0.0017,0.0017
CoRoT-20 c,Radial Velocity,,,,1675.0,19.0,17.0,,,,,,,,,,,,,12.2,,,,,,1.37,0.03,0.04,0.6,0.03,0.03,1.14,0.08,0.08,,,
CoRoT-24 b,Transit,2454789.611,0.006,0.006,5.1134,0.0006,0.0006,2.85,0.25,0.25,,,,86.5,2.0,2.0,0.65,0.3,0.3,3.7,0.4,0.4,10.9,2.8,2.8,0.86,0.09,0.09,0.0,,,0.91,0.09,0.09,0.037,0.0021,0.0021
CoRoT-24 c,Transit,2454795.3803,0.0265,0.0265,11.759,0.0063,0.0063,4.8,0.2,0.2,,,,89.0,1.0,1.6,0.3,0.4,0.4,5.0,0.5,0.5,18.0,2.5,2.5,0.86,0.09,0.09,0.0,,,0.91,0.09,0.09,0.05,0.001,0.001
CoRoT-7 b,Transit,2454398.07756,0.00045,0.00074,0.85359163,1e-08,1e-08,1.059,0.026,0.026,,,,80.1,0.3,0.3,0.713,0.017,0.026,1.681,0.112,0.112,4.26,0.21,0.21,0.83,0.04,0.04,0.0,0.07,0.07,0.82,0.17,0.17,0.0187,0.0003,0.0003
CoRoT-7 c,Radial Velocity,2454445.0,0.7,0.7,3.698,0.003,0.003,,,,,,,80.0,,,,,,2.83,,,,,,0.86,0.05,0.04,0.0,0.06,0.06,0.9,0.12,0.1,,,
CoRoT-7 d,Radial Velocity,,,,8.966,1.546,1.546,,,,,,,,,,,,,4.31,,,,,,0.84,0.01,0.01,0.0,,,0.92,0.02,0.02,,,
DMPP-1 b,Radial Velocity,,,,18.57,0.01,0.01,,,,,,,,,,,,,5.29,,,,,,1.26,0.02,0.02,0.083,,,1.21,0.03,0.03,,,
DMPP-1 c,Radial Velocity,,,,6.584,0.003,0.002,,,,,,,,,,,,,3.06,,,,,,1.26,0.02,0.02,0.057,,,1.21,0.03,0.03,,,
DMPP-1 d,Radial Velocity,,,,2.882,0.001,0.001,,,,,,,,,,,,,1.65,,,,,,1.26,0.02,0.02,0.07,,,1.21,0.03,0.03,,,
DMPP-1 e,Radial Velocity,,,,5.516,0.002,0.004,,,,,,,,,,,,,1.86,,,,,,1.26,0.02,0.02,0.07,,,1.21,0.03,0.03,,,
EPIC 201615463 c,Transit,2457621.2227,0.0051,0.0053,3.80464,0.00091,0.00105,,,,,,,,,,0.61,0.14,0.15,1.22,0.21,0.17,,,,1.6,0.01,0.02,,,,1.07,0.03,0.03,0.0093,0.0007,0.0007
EPIC 201754305 d,Transit,2456850.4963,0.0029,0.0029,2.71578,0.00031,0.00031,,,,,,,,,,0.21,0.21,0.14,1.03,0.085,0.086,,,,0.54,0.02,0.01,,,,0.67,0.03,0.04,0.015,0.001,0.001
EPIC 201833600 c,Transit,2456852.6552,0.0025,0.0025,3.96151,0.00046,0.00051,2.16,0.144,0.168,,,,,,,0.4,0.2,0.24,1.0,0.12,0.11,12.4,4.0,2.0,0.63,0.04,0.04,,,,0.61,0.06,0.06,0.0168,0.0012,0.0012
EPIC 205950854 c,Transit,2456973.7648,0.01,0.0099,8.050722,7.5e-05,3.8e-05,3.72,0.288,0.312,,,,89.81,0.98,0.43,0.064,0.307,0.141,1.31,0.144,0.063,16.18,0.36,0.18,0.83,0.09,0.04,,0.98,0.43,0.88,0.06,0.03,0.01258,0.00075,0.00057
EPIC 206024342 b,Transit,2456899.1324,0.0026,0.0027,4.50756,0.00062,0.0006,2.184,0.144,0.168,,,,,,,0.7,0.09,0.1,1.7,0.59,0.31,13.9,4.8,2.3,0.82,0.1,0.04,,,,0.93,0.08,0.1,0.0147,0.0012,0.001
EPIC 206024342 c,Transit,2457016.52991,0.0027,0.0018,0.911724,7.6e-05,7.6e-05,1.416,0.12,0.144,,,,91.7,9.0,9.0,0.96,,,1.4,0.5,0.5,4.7,0.7,1.0,1.1,0.36,0.36,,,,0.93,0.08,0.1,0.0117,0.0011,0.00056
EPIC 206024342 d,Transit,2456985.47506,0.0038,0.0025,14.647531,4.1e-06,4.1e-06,4.008,0.144,0.216,,,,90.0,2.0,1.0,0.94,,,2.6,0.9,0.9,29.0,2.0,6.0,1.1,0.36,0.36,,,,0.93,0.08,0.1,0.0217,0.0016,0.00073
EPIC 206042996 b,Transit,2456989.0462,0.0053,0.0047,5.2986,0.0006,0.0006,3.144,0.456,0.768,,,,90.5,3.0,3.0,0.26,0.23,0.18,1.7,0.2,0.2,16.0,3.0,4.0,0.5,0.04,0.04,,,,0.57,0.05,0.05,0.0303,0.0041,0.0025
EPIC 206042996 c,Transit,2457007.06827,0.002,0.0017,0.354884,6.3e-05,6.3e-05,1.07,,,,,,89.9,20.0,10.0,0.25,,,1.2,0.2,0.1,2.6,0.5,0.5,0.5,0.04,0.04,,,,0.57,0.05,0.05,0.0223,0.0026,0.0013
EPIC 206317286 b,Transit,2457011.3327,0.0024,0.0024,1.58252,0.00017,0.00018,1.752,0.12,0.144,,,,,,,0.57,0.15,0.24,0.96,0.11,0.15,6.1,2.0,1.0,0.67,0.04,0.05,,,,0.71,0.09,0.03,0.0133,0.0014,0.0012
EPIC 206317286 c,Transit,2456977.8215,0.0071,0.0031,17.515472,0.002288,0.002965,3.936,0.192,0.288,,,,,,,0.268,0.205,0.183,2.094,0.176,0.16,34.54,1.69,2.6,0.76,0.05,0.06,,,,0.83,0.25,0.37,0.0253,0.001,0.001
EPIC 212297394 b,Transit,2457217.96319,0.004892,0.004738,2.289363,0.000232,0.000251,1.88,0.17,0.16,,,,,,,0.41,0.29,0.26,1.48,0.13,0.11,8.53,1.18,1.79,0.8,0.03,0.03,,,,0.83,0.05,0.04,0.0169,0.0012,0.0012
EPIC 212297394 c,Transit,2457222.478879,0.003648,0.003472,5.213965,0.000442,0.000442,2.62,0.11,0.11,,,,,,,0.39,0.32,0.27,2.27,0.19,0.14,14.45,1.25,3.23,0.8,0.03,0.03,,,,0.83,0.05,0.04,0.0258,0.0018,0.0011
EPIC 212587672 b,Transit,2457227.644991,0.004543,0.004448,15.28078,0.000121,0.000116,3.46,0.2,0.21,,,,,,,0.43,0.33,0.29,1.26,0.11,0.09,30.75,3.74,8.15,0.98,0.04,0.03,,,,0.99,0.03,0.04,0.0117,0.0009,0.0007
EPIC 212587672 c,Transit,2457237.042492,0.001902,0.001818,23.228555,6.8e-05,7.1e-05,3.25,0.13,0.09,,,,89.421,0.421,1.027,0.43,0.35,0.3,2.32,0.19,0.12,50.74,5.07,15.28,0.98,0.04,0.03,,,,0.99,0.03,0.04,0.0215,0.0017,0.0007
EPIC 212624936 b,Transit,2457232.53108,0.0025,0.0022,0.578657,1.6e-05,1.6e-05,,,,,,,90.3,10.0,10.0,,,,1.2,0.3,0.3,3.0,0.4,0.6,0.93,0.2,0.2,,,,1.0,,,0.0114,0.0011,0.00071
EPIC 212624936 c,Transit,2457233.78707,0.0029,0.0033,11.811437,0.00011,0.00011,2.064,0.12,0.192,,,,90.0,1.0,0.9,,,,2.3,0.5,0.5,41.0,5.0,10.0,0.93,0.2,0.2,,,,1.0,,,0.0226,0.0022,0.0011
EPIC 212737443 b,Transit,2457234.97,0.004,0.004,13.603,0.0013,0.0013,2.976,0.12,0.12,,,,89.071,0.161,0.161,0.479,0.101,0.101,2.586,0.126,0.126,31.994,0.646,0.646,0.67,0.02,0.02,0.2,0.2,0.2,0.69,0.04,0.04,0.0352,0.0012,0.0012
EPIC 212737443 c,Transit,2457227.79,0.005,0.005,65.55,0.0089,0.0089,4.608,0.24,0.24,,,,89.63,0.044,0.044,0.567,0.082,0.082,2.69,0.146,0.146,91.172,1.82,1.82,0.67,0.02,0.02,0.2,0.2,0.2,0.69,0.04,0.04,0.0366,0.0016,0.0016
EPIC 220554210 c,Transit,2457466.1131,0.0019,0.0022,0.70531,3.7e-05,3.7e-05,1.704,0.12,0.168,,,,91.3,10.0,10.0,0.25,0.24,0.17,1.6,0.1,0.1,3.0,0.3,0.5,1.0,0.04,0.04,,,,0.94,0.04,0.04,0.0145,0.0011,0.00065
EPIC 220674823 b,Transit,2457417.43601,0.00091,0.00079,0.571212,3.8e-05,3.8e-05,1.532,0.037,0.035,,,,89.7,10.0,10.0,0.18,0.19,0.13,1.6,0.1,0.1,2.9,0.1,0.3,0.95,0.05,0.05,0.0,,,0.93,0.01,0.01,0.0157,0.00069,0.00031
EPIC 220674823 c,Transit,2457405.70999,0.0028,0.0032,13.334615,0.0001,0.0001,3.4392,0.18,0.1608,,,,90.2,1.0,1.0,0.31,0.17,0.2,2.2,0.2,0.2,26.0,2.0,5.0,0.95,0.05,0.05,0.18,0.15,0.12,0.93,0.01,0.01,0.0209,0.0015,0.00055
EPIC 249893012 b,Transit,2457994.396,0.005,0.005,3.5951,0.0003,0.0003,4.33,0.18,0.15,,,,86.14,2.6,3.5,0.42,0.28,0.25,1.95,0.09,0.08,5.93,0.96,0.6,1.71,0.04,0.04,0.06,0.08,0.04,1.05,0.05,0.05,0.0104,0.0004,0.0004
EPIC 249893012 c,Transit,2457998.841,0.002,0.004,15.624,0.001,0.001,6.37,0.15,0.12,,,,87.94,0.74,1.05,0.6,0.15,0.21,3.67,0.17,0.14,15.79,1.58,2.56,1.71,0.04,0.04,0.07,0.08,0.05,1.05,0.05,0.05,0.0197,0.0008,0.0006
EPIC 249893012 d,Transit,2458008.652,0.003,0.003,35.747,0.005,0.005,9.56,0.14,0.13,,,,89.47,0.36,0.5,0.25,0.23,0.17,3.94,0.13,0.12,27.42,2.74,4.44,1.71,0.04,0.04,0.15,0.21,0.11,1.05,0.05,0.05,0.0211,0.0005,0.0004
G 264-012 b,Radial Velocity,,,,2.30538,0.00031,0.00031,,,,,,,,,,,,,1.39,,,,,,0.3,0.01,0.01,,,,0.3,0.02,0.02,,,
G 264-012 c,Radial Velocity,,,,8.0518,0.0034,0.0034,,,,,,,,,,,,,1.76,,,,,,0.3,0.01,0.01,,,,0.3,0.02,0.02,,,
GJ 1061 b,Radial Velocity,,,,3.204,0.001,0.001,,,,,,,,,,,,,1.1,,,,,,0.16,0.01,0.01,0.31,0.0,0.31,0.12,0.01,0.01,,,
GJ 1061 c,Radial Velocity,,,,6.689,0.005,0.005,,,,,,,,,,,,,1.18,,,,,,0.16,0.01,0.01,0.29,0.0,0.29,0.12,0.01,0.01,,,
GJ 1061 d,Radial Velocity,,,,13.031,0.025,0.032,,,,,,,,,,,,,1.16,,,,,,0.16,0.01,0.01,0.53,0.0,0.54,0.12,0.01,0.01,,,
GJ 1132 b,Transit,2457184.55759,0.0003,0.0003,1.628931,2.7e-05,2.7e-05,0.809276,0.0963656,0.0963656,,,,86.58,0.63,0.63,0.38,0.14,0.14,1.13,0.056,0.056,16.0,1.1,1.1,0.21,0.01,0.01,0.22,,,0.18,0.02,0.02,0.05041,0.00086,0.00086
GJ 1132 c,Radial Velocity,,,,8.929,0.01,0.01,,,,,,,,,,,,,1.43,,,,,,0.21,0.01,0.01,0.27,0.0,0.27,0.18,0.02,0.02,,,
GJ 1148 b,Radial Velocity,2454796.92,0.89,0.85,41.38,0.002,0.001,,,,,,,,,,,,,11.9,,,,,,0.36,0.01,0.01,0.38,0.01,0.012,0.34,0.02,0.02,,,
GJ 1148 c,Radial Velocity,2454769.0,29.0,40.0,532.58,4.14,2.52,,,,,,,,,,,,,9.71,,,,,,0.36,0.01,0.01,0.342,0.05,0.062,0.34,0.02,0.02,,,
GJ 143 b,Transit,2458385.92502,0.00054,0.00055,35.61253,0.0006,0.00062,3.23,0.041,0.038,,,,89.33,0.15,0.11,0.587,0.097,0.15,2.61,0.17,0.16,60.1,3.2,3.3,0.7,0.03,0.03,0.188,0.076,0.078,0.73,0.07,0.07,0.035,0.0011,0.001
GJ 15 A b,Radial Velocity,2455783.63,0.31,0.24,11.4407,0.0017,0.0016,,,,,,,,,,,,,1.55,,,,,,0.38,0.05,0.05,0.094,0.091,0.065,0.38,0.05,0.05,,,
GJ 15 A c,Radial Velocity,,,,7600.0,2200.0,1700.0,,,,,,,,,,,,,6.67,,,,,,0.38,0.05,0.05,0.27,0.28,0.19,0.38,0.05,0.05,,,
GJ 163 b,Radial Velocity,,,,8.63182,0.00155,0.00155,,,,,,,,,,,,,3.25,,,,,,0.41,0.01,0.01,0.073,0.05,0.05,0.4,0.02,0.02,,,
GJ 163 c,Radial Velocity,,,,25.63058,0.0255,0.0255,,,,,,,,,,,,,2.5,,,,,,0.41,0.01,0.01,0.099,0.086,0.086,0.4,0.02,0.02,,,
GJ 163 d,Radial Velocity,,,,603.95116,7.55862,7.55862,,,,,,,,,,,,,5.92,,,,,,0.41,0.01,0.01,0.373,0.077,0.077,0.4,0.02,0.02,,,
GJ 180 b,Radial Velocity,,,,17.133,0.003,0.003,,,,,,,,,,,,,2.43,,,,,,0.41,0.01,0.01,0.07,0.04,0.04,0.43,,,,,
GJ 180 c,Radial Velocity,,,,24.329,0.052,0.066,,,,,,,,,,,,,2.41,,,,,,0.41,0.01,0.01,0.09,0.2,0.09,0.43,,,,,
GJ 180 d,Radial Velocity,,,,106.3,0.129,0.129,,,,,,,,,,,,,2.66,,,,,,0.41,0.01,0.01,0.14,0.04,0.04,0.43,,,,,
GJ 2030 b,Radial Velocity,,,,2.38128933,0.00015048,0.00013443,,,,,,,,,,,,,1.98,,,,,,2.24,0.1,0.09,0.239302,0.074628,0.058434,0.96,0.12,0.12,,,
GJ 2030 c,Radial Velocity,,,,25533.11353048,2549.01187087,2322.57167558,,,,,,,16.999,2.935,2.535,,,,12.3,,,,,,2.24,0.1,0.09,0.040554,0.002825,0.00766,0.96,0.12,0.12,,,
GJ 229 A c,Radial Velocity,,,,121.93267601,0.06708474,0.08157952,,,,,,,,,,,,,2.87,,,,,,0.46,0.01,0.02,0.365639,0.065045,0.062648,0.51,0.02,0.02,,,
GJ 229 b,Radial Velocity,,,,579.47494672,1.67941947,1.41413562,,,,,,,,,,,,,3.96,,,,,,0.46,0.01,0.02,0.403522,0.104547,0.124334,0.51,0.02,0.02,,,
GJ 273 b,Radial Velocity,,,,18.6498,0.0059,0.0052,,,,,,,80.0,,,,,,1.51,,,,,,0.29,0.03,0.03,0.1,0.09,0.07,0.29,,,,,
GJ 273 c,Radial Velocity,,,,4.7234,0.0004,0.0004,,,,,,,80.0,,,,,,1.06,,,,,,0.29,0.03,0.03,0.17,0.13,0.12,0.29,,,,,
GJ 3138 b,Radial Velocity,,,,1.22003,6e-05,4e-05,,,,,,,,,,,,,1.18,,,,,,0.5,0.03,0.03,0.19,0.18,0.13,0.68,,,,,
GJ 3138 c,Radial Velocity,,,,5.974,0.001,0.001,,,,,,,,,,,,,1.88,,,,,,0.5,0.03,0.03,0.11,0.11,0.07,0.68,,,,,
GJ 3138 d,Radial Velocity,,,,257.8,3.6,3.5,,,,,,,,,,,,,3.23,,,,,,0.5,0.03,0.03,0.32,0.2,0.21,0.68,,,,,
GJ 317 b,Radial Velocity,2455306.1,4.6,4.5,695.66,0.355,0.355,,,,,,,45.0,30.0,10.0,,,,13.3,,,,,,0.43,0.01,0.01,0.07,0.01,0.01,0.42,0.02,0.02,,,
GJ 317 c,Radial Velocity,2456384.0,75.0,77.0,6739.323,143.106,143.106,,,,,,,,,,,,,13.5,,,,,,0.43,0.01,0.01,0.17,0.02,0.02,0.42,0.02,0.02,,,
GJ 3293 b,Radial Velocity,,,,30.5987,0.0083,0.0084,,,,,,,,,,,,,5.19,,,,,,0.4,0.03,0.03,0.06,0.04,0.04,0.42,,,,,
GJ 3293 c,Radial Velocity,,,,122.6196,0.2429,0.2371,,,,,,,,,,,,,4.87,,,,,,0.4,0.03,0.03,0.11,0.1,0.08,0.42,,,,,
GJ 3293 d,Radial Velocity,,,,48.1345,0.0628,0.0661,,,,,,,,,,,,,2.67,,,,,,0.4,0.03,0.03,0.12,0.13,0.09,0.42,,,,,
GJ 3293 e,Radial Velocity,,,,13.2543,0.0078,0.0104,,,,,,,,,,,,,1.63,,,,,,0.4,0.03,0.03,0.21,0.2,0.14,0.42,,,,,
GJ 3323 b,Radial Velocity,,,,5.3636,0.0007,0.0007,,,,,,,,,,,,,1.23,,,,,,0.12,0.03,0.03,0.23,0.11,0.11,0.16,,,,,
GJ 3323 c,Radial Velocity,,,,40.54,0.21,0.19,,,,,,,,,,,,,1.32,,,,,,0.12,0.03,0.03,0.17,0.21,0.12,0.16,,,,,
GJ 3473 b,Transit,2458492.20408,0.00043,0.00042,1.1980035,1.8e-06,1.9e-06,0.95,0.015,0.014,,,,87.95,0.47,0.45,0.336,0.066,0.074,1.264,0.05,0.049,9.39,0.19,0.21,0.36,0.01,0.01,0.0,,,0.36,0.02,0.02,0.03184,0.00069,0.00067
GJ 3473 c,Radial Velocity,,,,15.509,0.033,0.033,,,,,,,,,,,,,2.63,,,,,,0.36,0.01,0.01,0.0,,,0.36,0.02,0.02,,,
GJ 3512 b,Radial Velocity,,,,203.69,0.09,0.02,,,,,,,,,,,,,14.3,,,,,,0.14,0.01,0.01,0.44,0.01,0.01,0.12,0.01,0.01,,,
GJ 3512 c,Radial Velocity,,,,1599.6,1.1,0.8,,,,,,,,,,,,,9.32,,,,,,0.14,0.01,0.01,0.0183,0.0001,0.0001,0.12,0.01,0.01,,,
GJ 357 b,Transit,2458517.99862,0.00039,0.00038,3.93072,8e-05,6e-05,1.53,0.12,0.11,,,,89.12,0.37,0.31,0.34,0.1,0.14,1.217,0.084,0.083,22.31,0.76,0.9,0.34,0.02,0.02,0.047,0.059,0.047,0.34,0.01,0.01,0.0331,0.0009,0.0009
GJ 357 c,Radial Velocity,,,,9.1247,0.0011,0.001,,,,,,,,,,,,,1.66,,,,,,0.34,0.02,0.02,0.072,0.053,0.053,0.34,0.01,0.01,,,
GJ 357 d,Radial Velocity,,,,55.661,0.055,0.055,,,,,,,,,,,,,2.34,,,,,,0.34,0.02,0.02,0.033,0.057,0.033,0.34,0.01,0.01,,,
GJ 3929 b,Transit,2458956.3962,0.0005,0.0005,2.616235,5e-06,5e-06,1.19,0.02,0.02,,,,88.442,0.008,0.008,0.11,0.06,0.07,1.09,0.04,0.04,16.8,0.5,0.5,0.32,0.01,0.01,0.0,,,0.31,0.03,0.02,0.0156,0.0003,0.0003
GJ 3929 c,Radial Velocity,2459070.9,0.4,0.4,15.04,0.03,0.03,,,,,,,,,,,,,2.26,,,,,,0.32,0.01,0.01,0.0,,,0.31,0.03,0.02,,,
GJ 3998 b,Radial Velocity,,,,2.64977,0.00081,0.00077,,,,,,,,,,,,,1.38,,,,,,0.49,0.05,0.05,0.0,,,0.5,0.05,0.05,,,
GJ 3998 c,Radial Velocity,,,,13.74,0.016,0.016,,,,,,,,,,,,,2.38,,,,,,0.49,0.05,0.05,0.049,0.052,0.034,0.5,0.05,0.05,,,
GJ 411 b,Radial Velocity,2456305.38,0.3,0.28,12.9394,0.0014,0.0013,,,,,,,,,,,,,1.45,,,,,,0.37,0.01,0.01,0.063,0.061,0.043,0.39,0.01,0.01,,,
GJ 414 A b,Radial Velocity,2455179.9,2.1,2.3,50.8,0.1,0.26,,,,,,,,,,,,,2.63,1.22,0.85,,,,0.68,0.14,0.14,0.45,0.19,0.22,0.65,0.08,0.08,,,
GJ 414 A c,Radial Velocity,2457228.0,18.0,18.0,749.83,4.35,3.63,,,,,,,,,,,,,8.4,3.6,2.5,,,,0.68,0.14,0.14,0.105,0.11,0.703,0.65,0.08,0.08,,,
GJ 433 b,Radial Velocity,,,,7.3705,0.0005,0.0005,,,,,,,,,,,,,2.33,,,,,,0.5,0.04,0.04,0.04,0.03,0.03,0.48,,,,,
GJ 433 c,Radial Velocity,,,,5094.105,608.617,608.617,,,,,,,,,,,,,6.27,,,,,,0.47,0.01,0.01,0.12,0.07,0.07,0.48,,,,,
GJ 433 d,Radial Velocity,,,,36.059,0.016,0.016,,,,,,,,,,,,,2.14,,,,,,0.47,0.01,0.01,0.07,0.05,0.05,0.48,,,,,
GJ 581 b,Radial Velocity,2454724.631,0.043,0.04,5.3686,0.0001,0.0001,,,,,,,,,,,,,4.11,,,,,,0.33,0.01,0.01,0.0,0.03,0.03,0.31,0.02,0.02,,,
GJ 581 c,Radial Velocity,2455183.69,0.46,0.57,12.914,0.002,0.002,,,,,,,,,,,,,2.21,,,,,,0.33,0.01,0.01,0.0,0.06,0.06,0.31,0.02,0.02,,,
GJ 581 e,Radial Velocity,,,,3.149,0.0002,0.0002,,,,,,,,,,,,,1.17,,,,,,0.33,0.01,0.01,0.0,0.06,0.06,0.31,0.02,0.02,,,
GJ 667 C b,Radial Velocity,,,,7.2004,0.0017,0.0017,,,,,,,,,,,,,2.23,,,,,,,,,0.13,0.1,0.11,0.33,0.02,0.02,,,
GJ 667 C c,Radial Velocity,,,,28.14,0.053,0.065,,,,,,,,,,,,,1.77,,,,,,,,,0.02,0.15,0.02,0.33,0.02,0.02,,,
GJ 667 C e,Radial Velocity,,,,62.24,0.55,0.55,,,,,,,,,,,,,1.45,,,,,,,,,0.02,0.22,0.02,0.33,0.02,0.02,,,
GJ 667 C f,Radial Velocity,,,,39.026,0.194,0.211,,,,,,,,,,,,,1.45,,,,,,,,,0.03,0.16,0.03,0.33,0.02,0.02,,,
GJ 667 C g,Radial Velocity,,,,256.2,13.8,7.9,,,,,,,,,,,,,1.99,,,,,,,,,0.08,0.41,0.08,0.33,0.02,0.02,,,
